Model,Publication date,Organization,Domain,Task,log_parameters
Eleven v3,2025-06-03,ElevenLabs,Speech,"Text-to-speech (TTS),Speech synthesis",
OpenAudio-S1,2025-06-03,Fish Audio,Speech,"Speech synthesis,Text-to-speech (TTS)",9.602059991327963
OpenAudio-S1-mini ,2025-06-03,Fish Audio,Speech,"Speech synthesis,Text-to-speech (TTS)",8.698970004336019
OpenAudio-S1-mini,2025-06-03,Fish Audio,Unknown,Unknown,8.698970004336019
Gemini 2.5 Flash Native Audio,2025-06-03,Google DeepMind,Speech,"Speech-to-speech,Audio question answering,Text-to-speech (TTS),Speech synthesis",
Kling 2.1,2025-05-29,Kuaishou Technology,"Video,Vision","Image-to-video,Video generation",
FLUX.1 Kontext [pro],2025-05-29,Black Forest Labs,"Image generation,Vision","Image generation,Text-to-image,Image captioning",
FLUX.1 Kontext [max],2025-05-29,Black Forest Labs,"Image generation,Vision","Image generation,Text-to-image,Image captioning",
FLUX.1 Kontext [dev],2025-05-29,Black Forest Labs,"Image generation,Vision","Image generation,Text-to-image,Image captioning",10.079181246047625
EVI 3,2025-05-29,Hume,Speech,"Speech-to-text,Speech recognition (ASR),Speech synthesis,Text-to-speech (TTS),Retrieval-augmented generation,Audio question answering,Speech-to-speech",
Skywork-OR1-32B,2025-05-29,Kunlun Inc.,Language,"Code generation,Language modeling/generation",10.505149978319906
Codestral Embed,2025-05-28,Mistral AI,Language,"Code generation,Code autocompletion,Retrieval-augmented generation",
Pangu Pro MoE,2025-05-28,Huawei,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning,Code generation",10.857272173564041
DeepSeek-R1 (May 2025),2025-05-28,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",11.826722520168993
SignGemma,2025-05-27,Google,Language,Unknown,
DMind-1,2025-05-24,Unknown,Language,Unknown,
OpenOmni,2025-05-24,"Chinese Academy of Sciences,Shenzhen Institute of Advanced Technology,University of Chinese Academy of Sciences,National University of Singapore,University of Science and Technology of China (USTC)","Multimodal,Language,Vision,Speech","Speech-to-text,Speech recognition (ASR),Image captioning,Visual question answering,Language modeling/generation,Question answering,Text-to-speech (TTS),Speech synthesis",9.845098040014257
o3 Operator,2025-05-23,OpenAI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,System control,Code generation,Instruction interpretation,Search,Quantitative reasoning,Visual question answering,Character recognition (OCR)",
DataRater test model (1B),2025-05-23,Google DeepMind,Language,Language modeling,9.0
Claude Opus 4,2025-05-22,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",
Claude Sonnet 4,2025-05-22,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",
Reason-ModernColBERT,2025-05-22,LightOn,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Retrieval-augmented generation",8.176091259055681
Veo 3,2025-05-21,Google DeepMind,"Video,Vision","Video generation,Image-to-video,Text-to-video",
Falcon-Arabic,2025-05-21,Technology Innovation Institute,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Retrieval-augmented generation",9.845098040014257
Falcon-H1,2025-05-21,Technology Innovation Institute,Language,"Language modeling/generation,Question answering,Code generation",10.531478917042255
Devstral Small,2025-05-21,"Mistral AI,All Hands AI",Language,"Code generation,Language modeling/generation,Instruction interpretation,System control",10.380211241711606
MedGemma 27B,2025-05-20,Google,"Medicine,Language,Vision,Multimodal","Question answering,Language modeling/generation,Medical diagnosis,Visual question answering,Image classification",10.431363764158988
Gemma 3n,2025-05-20,Google,"Language,Multimodal,Speech,Vision","Language modeling/generation,Question answering,Chat,Speech recognition (ASR),Translation,Speech-to-text,Visual question answering,Mathematical reasoning,Code generation,Character recognition (OCR)",9.894869656745252
Lyria RealTime,2025-05-20,Google DeepMind,Audio,Audio generation,
Imagen 4,2025-05-20,Google,Image generation,"Image generation,Text-to-image",
voyage-3.5,2025-05-20,Voyage AI,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Entity embedding",
Imagen 4 ultra,2025-05-20,Google,Image generation,"Image generation,Text-to-image",
Gemini 2.5 Flash (May 2025),2025-05-20,Google DeepMind,"Language,Multimodal,Vision,Speech,Video","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Speech recognition (ASR),Video description,Search,Text summarization,Chat",
Marin 8B,2025-05-19,Marin,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",9.903089986991944
Cosmos-Reason1 7B,2025-05-19,NVIDIA,"Multimodal,Language,Vision,Robotics,Video","Language modeling/generation,Visual question answering,Video description,Question answering,Instruction interpretation,Robotic manipulation",9.845098040014257
Cosmos-Reason1 56B,2025-05-19,NVIDIA,"Multimodal,Language,Vision,Robotics,Video","Language modeling/generation,Visual question answering,Video description,Question answering,Instruction interpretation,Robotic manipulation",10.7481880270062
NVIDIA Isaac GR00T N1.5 3B,2025-05-18,NVIDIA,"Robotics,Vision,Language","Robotic manipulation,Animal (human/non-human) imitation,Instruction interpretation",9.477121254719663
SANA 1.5 4.8B,2025-05-17,"NVIDIA,Massachusetts Institute of Technology (MIT),Tsinghua University,Playground,Peking University,The University of Hong Kong",Image generation,"Text-to-image,Image generation",9.681241237375588
codex-1,2025-05-16,OpenAI,Language,Code generation,
codex-mini,2025-05-16,OpenAI,Language,Code generation,
Repress,2025-05-16,DeepGenomics,Biology,"Cell Biology,RNA structure prediction,Protein-RNA binding affinity prediction",8.123851640967086
COLLECTIVE-1,2025-05-15,Unknown,Language,Unknown,
II-Medical-8B,2025-05-15,Intelligent Internet,Language,"Language modeling/generation,Question answering,Medical diagnosis",9.903089986991944
AlphaEvolve,2025-05-14,DeepMind,Language,Code generation,
LTX-Video-0.9.7. 13B distilled,2025-05-14,Lightricks,Video,"Video generation,Text-to-video,Image-to-video",
Pixverse v4.5,2025-05-13,PixVerse AI,Video,"Video generation,Text-to-video,Image-to-video",
Hunyuan T1-Vision,2025-05-12,Tencent,Video,Unknown,
Minimax-Speech-02-HD,2025-05-12,MiniMax,Speech,"Text-to-speech (TTS),Speech synthesis",
NTele-R1-32B-V1,2025-05-12,ZTE,"Mathematics,Language","Code generation,Mathematical reasoning,Language modeling/generation,Question answering",10.51587384371168
Seed1.5-VL,2025-05-11,ByteDance,"Vision,Language,Multimodal,Video","Visual question answering,Video description,Language modeling/generation,Question answering,Character recognition (OCR)",
Earth-2 (cBottle-SR),2025-05-10,NVIDIA,"Earth science,Image generation","Image generation,Weather forecasting",8.518513939877888
Tianxi-32B,2025-05-09,Lenovo,Language,"Language modeling/generation,Question answering,System control",10.505149978319906
Tianxi-72B,2025-05-09,Lenovo,"Language,Multimodal,Speech,Vision","Language modeling/generation,Question answering,System control,Retrieval-augmented generation,Visual question answering,Speech recognition (ASR)",10.857332496431269
Mistral Medium 3,2025-05-07,Mistral AI,"Multimodal,Language,Vision","Language modeling/generation,Visual question answering,Question answering,Quantitative reasoning,Code generation,Translation",
Pangu Ultra MoE,2025-05-07,Huawei,Language,"Language modeling/generation,Question answering",11.856124444242301
Apriel Nemotron 15B,2025-05-06,"NVIDIA,ServiceNow",Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat",10.176091259055681
Kevin-32B,2025-05-06,"Cognition,Stanford University",Language,Code generation,10.505149978319906
Gemini 2.5 Pro (May 2025),2025-05-06,Google DeepMind,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)",
Typhoon 2.1 Gemma 4B,2025-05-05,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",9.602059991327963
Typhoon 2.1 Gemma 12B,2025-05-05,Typhoon / SCB 10X,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",10.079181246047625
LTX-Video-0.9.7. 13B ,2025-05-05,Lightricks,Video,"Video generation,Text-to-video,Image-to-video",10.113943352306837
LTX-Video-0.9.7. 13B,2025-05-05,Lightricks,Unknown,Unknown,10.113943352306837
LinOSS,2025-05-02,Massachusetts Institute of Technology (MIT),Unknown,Unknown,
MiniMax-Speech-02-turbo,2025-05-02,MiniMax,Speech,"Text-to-speech (TTS),Speech synthesis",
Phi-4-Reasoning,2025-04-30,Microsoft,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Mathematical reasoning,Code generation",10.146128035678238
Phi-4-Reasoning-plus,2025-04-30,Microsoft,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Mathematical reasoning,Code generation",10.146128035678238
DeepSeek-Prover-V2-671B,2025-04-30,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning",11.826722520168993
DeepSeek-Prover-V2-7B,2025-04-30,DeepSeek,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning",9.845098040014257
TranscriptFormer,2025-04-30,Chan Zuckerberg Initiative,Biology,Unknown,
Amazon Nova Premier,2025-04-30,Amazon,"Multimodal,Language,Video,Vision","Language modeling/generation,Visual question answering,Video description,Question answering,Code generation,Character recognition (OCR),System control,Instruction interpretation,Retrieval-augmented generation",
GTE-ModernColBERT-v1,2025-04-30,LightOn,Language,"Language modeling/generation,Question answering",8.173186268412275
Qwen3-235B-A22B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",11.371067862271737
Qwen3-30B-A3B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",10.477121254719663
Qwen3-32B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",10.51587384371168
Qwen3-14B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",10.170261715394957
Qwen3-8B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",9.913813852383717
Qwen3-4B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",9.602059991327963
Qwen3-1.7B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",9.230448921378274
Qwen3-0.6B,2025-04-29,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",8.778151250383644
Foundation-sec-8b,2025-04-28,Cisco,Language,"Language modeling/generation,Question answering",9.903089986991944
Palmyra X5,2025-04-28,Writer,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Quantitative reasoning,Code generation,Translation,Character recognition (OCR)",
Atlantes,2025-04-26,Allen Institute for AI,Unknown,Unknown,
Pleias-RAG-350m,2025-04-25,PleIAs,Language,"Retrieval-augmented generation,Language modeling/generation,Question answering,Search,Text summarization,Translation",8.544068044350276
Pleias-RAG-1B,2025-04-25,PleIAs,Language,"Retrieval-augmented generation,Language modeling/generation,Question answering,Search,Text summarization,Translation",9.079181246047625
HiDream-I1,2025-04-25,HiDream,Image generation,"Image generation,Text-to-image",10.255272505103306
Firefly Image 4,2025-04-24,Adobe,Image generation,"Image generation,Text-to-image",
Firefly Image 4 Ultra,2025-04-24,Adobe,Image generation,"Image generation,Text-to-image",
gpt-image-1,2025-04-23,OpenAI,"Image generation,Vision","Image generation,Text-to-image",
π0.5 (pi-0.5),2025-04-22,Physical Intelligence,"Robotics,Vision",Robotic manipulation,9.518513939877888
Eagle 2.5,2025-04-21,"NVIDIA,Nanjing University,Hong Kong Polytechnic University,Rutgers University","Vision,Robotics,Language",Unknown,9.903089986991944
SkyReels-V2,2025-04-21,Kunlun Inc.,Video,"Video generation,Image-to-video,Text-to-video",10.146128035678238
Llama-Primus-Nemotron-70B,2025-04-21,Trend Micro,Language,"Language modeling/generation,Question answering",10.845098040014257
Trillion-7B,2025-04-21,Trillion Labs,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",9.845098040014257
Gemma 3 QAT 4B,2025-04-18,Google DeepMind,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Translation,Chat,Quantitative reasoning,Visual question answering,Code generation",9.602059991327963
